epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9547,0,85.6186,0,0,0,0,0,0,18.5299,0,4e-05,4e-05,4e-05
2,39.049,0,84.1928,0,0,0,0,0,0,18.5518,0,9.901e-05,9.901e-05,9.901e-05
3,54.1791,0,82.5483,0,0,0,0,0,0,18.5482,0,0.000156832,0.000156832,0.000156832
4,69.0239,0,80.7747,0,0,0,0,0,0,18.6483,0,0.000213466,0.000213466,0.000213466
5,88.018,0,78.0284,0,0,0,0,0,0,18.7386,0,0.000268912,0.000268912,0.000268912
6,107.692,0,74.0551,0,0,0,0,0,0,18.7509,0,0.00032317,0.00032317,0.00032317
7,150.273,0,70.9356,0,0,0,0,0,0,18.5494,0,0.00037624,0.00037624,0.00037624
8,170.486,0,68.5227,0,0,0,0,0,0,18.2726,0,0.000428122,0.000428122,0.000428122
9,191.006,0,66.5531,0,0,0,0,0,0,17.7361,0,0.000478816,0.000478816,0.000478816
10,209.211,0,62.5905,0,0,0,0,0,0,17.5738,0,0.000528322,0.000528322,0.000528322
11,225.142,0,60.9434,0,0,0,0,0,0,16.8192,0,0.00057664,0.00057664,0.00057664
12,241.673,0,58.2606,0,0,0,0,0,0,16.321,0,0.00062377,0.00062377,0.00062377
13,255.702,0,57.4256,0,0,0,0,0,0,15.5651,0,0.000669712,0.000669712,0.000669712
14,269.164,0,56.2453,0,0,0,0,0,0,16.0908,0,0.000714466,0.000714466,0.000714466
15,284.129,0,54.8531,0,0,0,0,0,0,15.313,0,0.000758032,0.000758032,0.000758032
16,299.793,0,53.2994,0,0,0,0,0,0,15.088,0,0.00080041,0.00080041,0.00080041
17,314.152,0,52.0499,0,0,0,0,0,0,15.3429,0,0.0008416,0.0008416,0.0008416
18,327.199,0,50.8926,0,0,0,0,0,0,13.3003,0,0.000881602,0.000881602,0.000881602
19,340.062,0,50.1257,0,0,0,0,0,0,14.3883,0,0.000920416,0.000920416,0.000920416
20,353.163,0,50.0983,0,0,0,0,0,0,12.1372,0,0.000958042,0.000958042,0.000958042
21,366.242,0,50.0001,0,0,0,0,0,0,11.8318,0,0.00099448,0.00099448,0.00099448
22,382.418,0,55.0471,0,0,0,0,0,0,11.0299,0,0.00102973,0.00102973,0.00102973
23,395.452,0,49.8756,0,0,0,0,0,0,12.0252,0,0.00106379,0.00106379,0.00106379
24,408.535,0,47.7113,0,0,0,0,0,0,10.7521,0,0.00109667,0.00109667,0.00109667
25,421.761,0,46.481,0,0,0,0,0,0,12.1883,0,0.00112835,0.00112835,0.00112835
26,434.814,0,45.4955,0,0,0,0,0,0,12.761,0,0.00115885,0.00115885,0.00115885
27,447.882,0,45.0961,0,0,0,0,0,0,11.8296,0,0.00118816,0.00118816,0.00118816
28,461.101,0,43.9823,0,0,0,0,0,0,11.6068,0,0.00121628,0.00121628,0.00121628
29,474.323,0,43.4766,0,0,0,0,0,0,11.6068,0,0.00124322,0.00124322,0.00124322
30,487.611,0,43.4712,0,0,0,0,0,0,11.0799,0,0.00126896,0.00126896,0.00126896
31,500.503,0,43.9564,0,0,0,0,0,0,10.1703,0,0.00129352,0.00129352,0.00129352
32,514.11,0,41.8372,0,0,0,0,0,0,9.57029,0,0.00131689,0.00131689,0.00131689
33,527.76,0,43.0097,0,0,0,0,0,0,9.57029,0,0.00133907,0.00133907,0.00133907
34,543.323,0,42.1252,0,0,0,0,0,0,33.9013,0,0.0013466,0.0013466,0.0013466
35,577.091,0,40.7178,0,0,0,0,0,0,951.296,0,0.0013268,0.0013268,0.0013268
36,624.97,0,39.9554,0,0,0,0,0,0,453.989,0,0.001307,0.001307,0.001307
37,644.907,0,39.1128,0,0,0,0,0,0,453.989,0,0.0012872,0.0012872,0.0012872
38,659.756,0,38.7891,0,0,0,0,0,0,87.3157,0,0.0012674,0.0012674,0.0012674
39,673.151,0,38.7954,0,0,0,0,0,0,7.69016,0,0.0012476,0.0012476,0.0012476
40,686.789,0,37.5875,0,0,0,0,0,0,7.44063,0,0.0012278,0.0012278,0.0012278
41,699.996,0,37.0033,0,0,0,0,0,0,7.44063,0,0.001208,0.001208,0.001208
42,713.65,0,36.5914,0,0,0,0,0,0,7.99957,0,0.0011882,0.0011882,0.0011882
43,726.906,0,36.0498,0,0,0,0,0,0,8.61982,0,0.0011684,0.0011684,0.0011684
44,740.224,0,35.655,0,0,0,0,0,0,8.77891,0,0.0011486,0.0011486,0.0011486
45,753.322,0,34.8275,0,0,0,0,0,0,8.77891,0,0.0011288,0.0011288,0.0011288
46,766.863,0,34.5299,0,0,0,0,0,0,8.44749,0,0.001109,0.001109,0.001109
47,780.657,0,34.4803,0,0,0,0,0,0,8.17566,0,0.0010892,0.0010892,0.0010892
48,794.507,0,33.7881,0,0,0,0,0,0,7.66327,0,0.0010694,0.0010694,0.0010694
49,808.512,0,33.0264,0,0,0,0,0,0,7.66327,0,0.0010496,0.0010496,0.0010496
50,821.863,0,32.6942,0,0,0,0,0,0,11.5922,0,0.0010298,0.0010298,0.0010298
51,835.784,0,32.5034,0,0,0,0,0,0,457.332,0,0.00101,0.00101,0.00101
52,852.322,0,32.1924,0,0,0,0,0,0,1007.47,0,0.0009902,0.0009902,0.0009902
53,865.753,0,31.4931,0,0,0,0,0,0,1007.47,0,0.0009704,0.0009704,0.0009704
54,878.786,0,31.1212,0,0,0,0,0,0,72.653,0,0.0009506,0.0009506,0.0009506
55,891.9,0,30.9314,0,0,0,0,0,0,6.77026,0,0.0009308,0.0009308,0.0009308
56,908.128,0,30.2566,0,0,0,0,0,0,6.54089,0,0.000911,0.000911,0.000911
57,924.829,0,29.7242,0,0,0,0,0,0,6.54089,0,0.0008912,0.0008912,0.0008912
58,941.827,0,29.6577,0,0,0,0,0,0,6.59632,0,0.0008714,0.0008714,0.0008714
59,958.487,0,29.4343,0,0,0,0,0,0,6.75783,0,0.0008516,0.0008516,0.0008516
60,975.226,0,28.8296,0,0,0,0,0,0,13.5359,0,0.0008318,0.0008318,0.0008318
61,992.122,0,28.3861,0,0,0,0,0,0,13.5359,0,0.000812,0.000812,0.000812
62,1008.99,0,28.2325,0,0,0,0,0,0,6.56023,0,0.0007922,0.0007922,0.0007922
63,1025.99,0,28.0829,0,0,0,0,0,0,5.25601,0,0.0007724,0.0007724,0.0007724
64,1043.24,0,27.6932,0,0,0,0,0,0,5.10812,0,0.0007526,0.0007526,0.0007526
65,1059.88,0,27.6164,0,0,0,0,0,0,5.10812,0,0.0007328,0.0007328,0.0007328
66,1076.76,0,26.9497,0,0,0,0,0,0,5.14638,0,0.000713,0.000713,0.000713
67,1093.5,0,26.8603,0,0,0,0,0,0,5.28749,0,0.0006932,0.0006932,0.0006932
68,1110.19,0,26.4926,0,0,0,0,0,0,5.74819,0,0.0006734,0.0006734,0.0006734
69,1127.05,0,26.065,0,0,0,0,0,0,5.74819,0,0.0006536,0.0006536,0.0006536
70,1143.88,0,25.8954,0,0,0,0,0,0,5.85379,0,0.0006338,0.0006338,0.0006338
71,1160.53,0,25.8123,0,0,0,0,0,0,5.89231,0,0.000614,0.000614,0.000614
72,1177.51,0,25.441,0,0,0,0,0,0,5.91779,0,0.0005942,0.0005942,0.0005942
73,1194.17,0,25.0754,0,0,0,0,0,0,5.91779,0,0.0005744,0.0005744,0.0005744
74,1211,0,25.0376,0,0,0,0,0,0,5.88306,0,0.0005546,0.0005546,0.0005546
75,1227.65,0,24.8667,0,0,0,0,0,0,5.82399,0,0.0005348,0.0005348,0.0005348
76,1244.32,0,24.5434,0,0,0,0,0,0,5.72994,0,0.000515,0.000515,0.000515
77,1261.27,0,24.91,0,0,0,0,0,0,5.72994,0,0.0004952,0.0004952,0.0004952
78,1278.03,0,24.7812,0,0,0,0,0,0,5.68102,0,0.0004754,0.0004754,0.0004754
79,1294.72,0,24.2304,0,0,0,0,0,0,5.59588,0,0.0004556,0.0004556,0.0004556
80,1311.72,0,23.751,0,0,0,0,0,0,5.5252,0,0.0004358,0.0004358,0.0004358
81,1328.3,0,24.1005,0,0,0,0,0,0,5.5252,0,0.000416,0.000416,0.000416
82,1343.14,0,23.5608,0,0,0,0,0,0,5.50682,0,0.0003962,0.0003962,0.0003962
83,1356.32,0,23.5442,0,0,0,0,0,0,5.47593,0,0.0003764,0.0003764,0.0003764
84,1369.97,0,23.433,0,0,0,0,0,0,5.44632,0,0.0003566,0.0003566,0.0003566
85,1383.93,0,23.0517,0,0,0,0,0,0,5.44632,0,0.0003368,0.0003368,0.0003368
86,1397.1,0,22.9671,0,0,0,0,0,0,5.4005,0,0.000317,0.000317,0.000317
87,1410.01,0,23.0193,0,0,0,0,0,0,5.35288,0,0.0002972,0.0002972,0.0002972
88,1423.36,0,22.783,0,0,0,0,0,0,5.31095,0,0.0002774,0.0002774,0.0002774
89,1436.55,0,22.8908,0,0,0,0,0,0,5.31095,0,0.0002576,0.0002576,0.0002576
90,1449.59,0,22.6136,0,0,0,0,0,0,5.27218,0,0.0002378,0.0002378,0.0002378
91,1463.9,0,22.6734,0,0,0,0,0,0,5.21339,0,0.000218,0.000218,0.000218
92,1477.43,0,22.5032,0,0,0,0,0,0,5.16106,0,0.0001982,0.0001982,0.0001982
93,1490.94,0,22.3975,0,0,0,0,0,0,5.16106,0,0.0001784,0.0001784,0.0001784
94,1504.1,0,22.4388,0,0,0,0,0,0,5.12026,0,0.0001586,0.0001586,0.0001586
95,1517.23,0,22.3448,0,0,0,0,0,0,5.0928,0,0.0001388,0.0001388,0.0001388
96,1529.88,0,22.3504,0,0,0,0,0,0,5.06882,0,0.000119,0.000119,0.000119
97,1542.58,0,22.157,0,0,0,0,0,0,5.06882,0,9.92e-05,9.92e-05,9.92e-05
98,1555.53,0,22.1708,0,0,0,0,0,0,5.03783,0,7.94e-05,7.94e-05,7.94e-05
99,1568.52,0,22.1659,0,0,0,0,0,0,5.01094,0,5.96e-05,5.96e-05,5.96e-05
100,1583.52,0,22.1776,0,0,0,0,0,0,5.00603,0,3.98e-05,3.98e-05,3.98e-05
